"date","state","time","Z_t","M_t","W_t_ma","ed","zed","ed2","sc","sh","rb","ob","old","meanold","cold","white","black","asian","hispanic"
2020-03-17,"Alabama",1,39,48.2857142857143,0.420168067226891,0,-0.689212740446557,4,0,0,0,0,0,3,-3,0.652,0.264,0.014,0.044
2020-03-18,"Alabama",2,51,65.2857142857143,0.35207100591716,0,-0.689212740446557,4,0,0,0,0,0,3,-3,0.652,0.264,0.014,0.044
2020-03-19,"Alabama",3,78,84.4285714285714,0.293216630196936,0,-0.689212740446557,4,0,0,1,0,1,3,-2,0.652,0.264,0.014,0.044
2020-03-20,"Alabama",4,106,108.285714285714,0.282571912013536,0,-0.689212740446557,4,1,0,1,0,2,3,-1,0.652,0.264,0.014,0.044
2020-03-21,"Alabama",5,131,137.285714285714,0.267810026385224,0,-0.689212740446557,4,1,0,1,0,2,3,-1,0.652,0.264,0.014,0.044
2020-03-22,"Alabama",6,157,185.142857142857,0.348595213319459,0,-0.689212740446557,4,1,0,1,0,2,3,-1,0.652,0.264,0.014,0.044
2020-03-23,"Alabama",7,196,250.857142857143,0.354938271604938,0,-0.689212740446557,4,1,0,1,0,2,3,-1,0.652,0.264,0.014,0.044
2020-03-24,"Alabama",8,242,327,0.303530751708428,0,-0.689212740446557,4,1,0,1,0,2,3,-1,0.652,0.264,0.014,0.044
2020-03-25,"Alabama",9,386,411.142857142857,0.257317605941459,0,-0.689212740446557,4,1,0,1,0,2,3,-1,0.652,0.264,0.014,0.044
2020-03-26,"Alabama",10,538,507.285714285714,0.233842946490618,0,-0.689212740446557,4,1,0,1,0,2,3,-1,0.652,0.264,0.014,0.044
2020-03-27,"Alabama",11,639,614.571428571429,0.211489721205294,0,-0.689212740446557,4,1,0,1,0,2,3,-1,0.652,0.264,0.014,0.044
2020-03-28,"Alabama",12,720,722.714285714286,0.175964667596467,0,-0.689212740446557,4,1,0,1,1,3,3,0,0.652,0.264,0.014,0.044
2020-03-29,"Alabama",13,830,825.857142857143,0.142715951769124,0,-0.689212740446557,4,1,0,1,1,3,3,0,0.652,0.264,0.014,0.044
2020-03-30,"Alabama",14,947,930.428571428571,0.126621691748832,0,-0.689212740446557,4,1,0,1,1,3,3,0,0.652,0.264,0.014,0.044
2020-03-31,"Alabama",15,999,1058.42857142857,0.137571011822509,0,-0.689212740446557,4,1,0,1,1,3,3,0,0.652,0.264,0.014,0.044
2020-04-01,"Alabama",16,1108,1188.71428571429,0.123093534889999,0,-0.689212740446557,4,1,0,1,1,3,3,0,0.652,0.264,0.014,0.044
2020-04-02,"Alabama",17,1270,1333,0.121379641869967,0,-0.689212740446557,4,1,0,1,1,3,3,0,0.652,0.264,0.014,0.044
2020-04-03,"Alabama",18,1535,1484.14285714286,0.11338548922945,0,-0.689212740446557,4,1,0,1,1,3,3,0,0.652,0.264,0.014,0.044
2020-04-04,"Alabama",19,1632,1655.28571428571,0.115314274713639,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-05,"Alabama",20,1840,1853.85714285714,0.119962026408907,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-06,"Alabama",21,2005,2077.85714285714,0.120829159281806,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-07,"Alabama",22,2197,2288.28571428571,0.101271914747336,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-08,"Alabama",23,2498,2521.14285714286,0.101760519415658,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-09,"Alabama",24,2838,2770.14285714286,0.0987647325475974,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-10,"Alabama",25,3008,3027.28571428571,0.092826569026868,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-11,"Alabama",26,3262,3278.14285714286,0.0828653673729414,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-12,"Alabama",27,3583,3527.14285714286,0.0759576415217676,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-13,"Alabama",28,3805,3750.85714285714,0.063426488456865,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-14,"Alabama",29,3953,3974.28571428571,0.0595673369896405,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-15,"Alabama",30,4241,4183,0.0525161754133717,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-16,"Alabama",31,4404,4371.57142857143,0.0450804275810252,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-17,"Alabama",32,4572,4553.42857142857,0.041599947714127,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-18,"Alabama",33,4723,4749.71428571429,0.0431072347367759,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-04-19,"Alabama",34,4903,4945.28571428571,0.0411754090471609,0,-0.689212740446557,4,1,1,1,1,4,3,1,0.652,0.264,0.014,0.044
2020-03-17,"Alaska",1,6,6.57142857142857,0.393939393939394,-1,-0.766127072531403,6,1,0,0,0,1,3.61764705882353,-2.61764705882353,0.597,0.031,0.062,0.072
2020-03-18,"Alaska",2,9,9.42857142857143,0.434782608695652,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-19,"Alaska",3,12,12.4285714285714,0.318181818181818,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-20,"Alaska",4,14,17.1428571428571,0.379310344827586,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-21,"Alaska",5,21,22.2857142857143,0.3,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-22,"Alaska",6,22,29.4285714285714,0.32051282051282,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-23,"Alaska",7,36,37.5714285714286,0.276699029126214,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-24,"Alaska",8,42,47.7142857142857,0.269961977186312,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-25,"Alaska",9,59,59.2857142857143,0.24251497005988,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-26,"Alaska",10,69,72.4285714285714,0.221686746987952,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-27,"Alaska",11,85,84.4285714285714,0.165680473372781,-1,-0.766127072531403,6,1,0,1,1,3,3.61764705882353,-0.617647058823529,0.597,0.031,0.062,0.072
2020-03-28,"Alaska",12,102,97.4285714285714,0.153976311336717,-1,-0.766127072531403,6,1,1,1,1,4,3.61764705882353,0.382352941176471,0.597,0.031,0.062,0.072
2020-03-29,"Alaska",13,114,109.428571428571,0.12316715542522,-1,-0.766127072531403,6,1,1,1,1,4,3.61764705882353,0.382352941176471,0.597,0.031,0.062,0.072
2020-03-30,"Alaska",14,120,120.428571428571,0.100522193211488,-1,-0.766127072531403,6,1,1,1,1,4,3.61764705882353,0.382352941176471,0.597,0.031,0.062,0.072
