"date","state","cases","ma"
2020-02-26,"Alabama",0,NA
2020-02-27,"Alabama",0,NA
2020-02-28,"Alabama",0,NA
2020-02-29,"Alabama",0,0
2020-03-01,"Alabama",0,0
2020-03-02,"Alabama",0,0
2020-03-03,"Alabama",0,0
2020-03-04,"Alabama",0,0
2020-03-05,"Alabama",0,0
2020-03-06,"Alabama",0,0
2020-03-07,"Alabama",0,0
2020-03-08,"Alabama",0,0
2020-03-09,"Alabama",0,0
2020-03-10,"Alabama",0,0.857142857142857
2020-03-11,"Alabama",0,2.57142857142857
2020-03-12,"Alabama",0,5.85714285714286
2020-03-13,"Alabama",6,10
2020-03-14,"Alabama",12,15.5714285714286
2020-03-15,"Alabama",23,22.8571428571429
2020-03-16,"Alabama",29,34
2020-03-17,"Alabama",39,48.2857142857143
2020-03-18,"Alabama",51,65.2857142857143
2020-03-19,"Alabama",78,84.4285714285714
2020-03-20,"Alabama",106,108.285714285714
2020-03-21,"Alabama",131,137.285714285714
2020-03-22,"Alabama",157,185.142857142857
2020-03-23,"Alabama",196,250.857142857143
2020-03-24,"Alabama",242,327
2020-03-25,"Alabama",386,411.142857142857
2020-03-26,"Alabama",538,507.285714285714
2020-03-27,"Alabama",639,614.571428571429
2020-03-28,"Alabama",720,722.714285714286
2020-03-29,"Alabama",830,825.857142857143
2020-03-30,"Alabama",947,930.428571428571
2020-03-31,"Alabama",999,1058.42857142857
2020-04-01,"Alabama",1108,1188.71428571429
2020-04-02,"Alabama",1270,1333
2020-04-03,"Alabama",1535,1484.14285714286
2020-04-04,"Alabama",1632,1655.28571428571
2020-04-05,"Alabama",1840,1853.85714285714
2020-04-06,"Alabama",2005,2077.85714285714
2020-04-07,"Alabama",2197,2288.28571428571
2020-04-08,"Alabama",2498,2521.14285714286
2020-04-09,"Alabama",2838,2770.14285714286
2020-04-10,"Alabama",3008,3027.28571428571
2020-04-11,"Alabama",3262,3278.14285714286
2020-04-12,"Alabama",3583,3527.14285714286
2020-04-13,"Alabama",3805,3750.85714285714
2020-04-14,"Alabama",3953,3974.28571428571
2020-04-15,"Alabama",4241,4183
2020-04-16,"Alabama",4404,4371.57142857143
2020-04-17,"Alabama",4572,4553.42857142857
2020-04-18,"Alabama",4723,4749.71428571429
2020-04-19,"Alabama",4903,4945.28571428571
2020-04-20,"Alabama",5078,5149.28571428571
2020-04-21,"Alabama",5327,5357
2020-04-22,"Alabama",5610,5569.85714285714
2020-04-23,"Alabama",5832,5786.71428571429
2020-04-24,"Alabama",6026,5995.42857142857
2020-04-25,"Alabama",6213,6198.71428571429
2020-04-26,"Alabama",6421,6386.57142857143
2020-04-27,"Alabama",6539,6563.14285714286
2020-04-28,"Alabama",6750,6744.28571428571
2020-04-29,"Alabama",6925,6944
2020-04-30,"Alabama",7068,7153.57142857143
2020-05-01,"Alabama",7294,7378.28571428571
2020-05-02,"Alabama",7611,7619.28571428571
2020-05-03,"Alabama",7888,7871.57142857143
2020-05-04,"Alabama",8112,8154.14285714286
2020-05-05,"Alabama",8437,8452.85714285714
2020-05-06,"Alabama",8691,8746.71428571429
2020-05-07,"Alabama",9046,9032.57142857143
2020-05-08,"Alabama",9385,9325.71428571429
2020-05-09,"Alabama",9668,9615.28571428571
2020-05-10,"Alabama",9889,9902.28571428571
2020-05-11,"Alabama",10164,10195.8571428571
2020-05-12,"Alabama",10464,10479.8571428571
2020-05-13,"Alabama",10700,10766.4285714286
2020-05-14,"Alabama",11101,11035.2857142857
2020-05-15,"Alabama",11373,11309.8571428571
2020-05-16,"Alabama",11674,11583
2020-05-17,"Alabama",11771,11919
2020-05-18,"Alabama",12086,12249.4285714286
2020-05-19,"Alabama",12376,12577.5714285714
2020-05-20,"Alabama",13052,12931.1428571429
2020-05-21,"Alabama",13414,13317.8571428571
2020-05-22,"Alabama",13670,13732.1428571429
2020-05-23,"Alabama",14149,14199.8571428571
2020-05-24,"Alabama",14478,14625.5714285714
2020-05-25,"Alabama",14986,15070.7142857143
2020-05-26,"Alabama",15650,15550.8571428571
2020-05-27,"Alabama",16032,16009.4285714286
2020-05-28,"Alabama",16530,16505.7142857143
2020-05-29,"Alabama",17031,17012.5714285714
2020-05-30,"Alabama",17359,17458.4285714286
2020-05-31,"Alabama",17952,17861.1428571429
2020-06-01,"Alabama",18534,18224.2857142857
2020-06-02,"Alabama",18771,18560.8571428571
2020-06-03,"Alabama",18851,18944.2857142857
2020-06-04,"Alabama",19072,19308.2857142857
2020-06-05,"Alabama",19387,19649.8571428571
2020-06-06,"Alabama",20043,20028.5714285714
2020-06-07,"Alabama",20500,20476.8571428571
2020-06-08,"Alabama",20925,21015.8571428571
2020-06-09,"Alabama",21422,21633.4285714286
2020-06-10,"Alabama",21989,22284.5714285714
2020-06-11,"Alabama",22845,23015.2857142857
2020-06-12,"Alabama",23710,23779.1428571429
2020-06-13,"Alabama",24601,24563.4285714286
2020-06-14,"Alabama",25615,25323.8571428571
2020-06-15,"Alabama",26272,26089.7142857143
2020-06-16,"Alabama",26912,26845.7142857143
2020-06-17,"Alabama",27312,27552.5714285714
2020-06-18,"Alabama",28206,28182
2020-06-19,"Alabama",29002,28779.4285714286
2020-06-20,"Alabama",29549,29377.2857142857
2020-06-21,"Alabama",30021,30056.1428571429
2020-06-22,"Alabama",30454,30770.4285714286
2020-06-23,"Alabama",31097,31510.5714285714
2020-06-24,"Alabama",32064,32301.1428571429
2020-06-25,"Alabama",33206,33075.4285714286
2020-06-26,"Alabama",34183,34035.5714285714
2020-06-27,"Alabama",35083,35028.1428571429
2020-06-28,"Alabama",35441,36013.5714285714
2020-06-29,"Alabama",37175,37000
2020-06-30,"Alabama",38045,38097.4285714286
2020-07-01,"Alabama",38962,39208.7142857143
2020-07-02,"Alabama",40111,40424.7142857143
2020-07-03,"Alabama",41865,41525.1428571429
2020-07-04,"Alabama",42862,42630.8571428571
2020-07-05,"Alabama",43953,43773.7142857143
2020-07-06,"Alabama",44878,45068.4285714286
2020-07-07,"Alabama",45785,46303.1428571429
2020-07-08,"Alabama",46962,47601
2020-07-09,"Alabama",49174,48977.2857142857
2020-07-10,"Alabama",50508,50501.1428571429
2020-07-11,"Alabama",51947,52139.7142857143
