"State","State.Abbreviation","Policy","Date","Group"
"Alabama","AL","closing_schools","3/20/2020","Lockdown"
"Alaska","AK","closing_schools","3/16/2020","Lockdown"
"Arizona","AZ","closing_schools","3/16/2020","Lockdown"
"Arkansas","AR","closing_schools","3/17/2020","Lockdown"
"California","CA","closing_schools","3/23/2020","Lockdown"
"Colorado","CO","closing_schools","3/23/2020","Lockdown"
"Connecticut","CT","closing_schools","3/17/2020","Lockdown"
"Delaware","DE","closing_schools","3/16/2020","Lockdown"
"District of Columbia","DC","closing_schools","3/16/2020","Lockdown"
"Florida","FL","closing_schools","3/17/2020","Lockdown"
"Georgia","GA","closing_schools","3/18/2020","Lockdown"
"Hawaii","HI","closing_schools","3/16/2020","Lockdown"
"Idaho","ID","closing_schools","3/24/2020","Lockdown"
"Illinois","IL","closing_schools","3/17/2020","Lockdown"
"Indiana","IN","closing_schools","3/20/2020","Lockdown"
"Iowa","IA","closing_schools","4/2/2020","Lockdown"
"Kansas","KS","closing_schools","3/18/2020","Lockdown"
"Kentucky","KY","closing_schools","3/17/2020","Lockdown"
"Louisiana","LA","closing_schools","3/16/2020","Lockdown"
"Maine","ME","closing_schools","4/2/2020","Lockdown"
"Maryland","MD","closing_schools","3/16/2020","Lockdown"
"Massachusetts","MA","closing_schools","3/17/2020","Lockdown"
"Michigan","MI","closing_schools","3/16/2020","Lockdown"
"Minnesota","MN","closing_schools","3/18/2020","Lockdown"
"Mississippi","MS","closing_schools","3/20/2020","Lockdown"
"Missouri","MO","closing_schools","3/23/2020","Lockdown"
"Montana","MT","closing_schools","3/16/2020","Lockdown"
"Nebraska","NE","closing_schools","4/3/2020","Lockdown"
"Nevada","NV","closing_schools","3/16/2020","Lockdown"
"New Hampshire","NH","closing_schools","3/16/2020","Lockdown"
"New Jersey","NJ","closing_schools","3/18/2020","Lockdown"
"New Mexico","NM","closing_schools","3/16/2020","Lockdown"
"New York","NY","closing_schools","3/18/2020","Lockdown"
"North Carolina","NC","closing_schools","3/16/2020","Lockdown"
"North Dakota","ND","closing_schools","3/16/2020","Lockdown"
"Ohio","OH","closing_schools","3/17/2020","Lockdown"
"Oklahoma","OK","closing_schools","3/17/2020","Lockdown"
"Oregon","OR","closing_schools","3/16/2020","Lockdown"
"Pennsylvania","PA","closing_schools","3/16/2020","Lockdown"
"South Carolina","SC","closing_schools","3/16/2020","Lockdown"
"South Dakota","SD","closing_schools","3/16/2020","Lockdown"
"Tennessee","TN","closing_schools","3/20/2020","Lockdown"
"Texas","TX","closing_schools","3/21/2020","Lockdown"
"Utah","UT","closing_schools","3/16/2020","Lockdown"
"Vermont","VT","closing_schools","3/18/2020","Lockdown"
"Virginia","VA","closing_schools","3/16/2020","Lockdown"
"Washington","WA","closing_schools","3/17/2020","Lockdown"
"West Virginia","WV","closing_schools","3/16/2020","Lockdown"
"Wisconsin","WI","closing_schools","3/18/2020","Lockdown"
"Wyoming","WY","closing_schools","3/19/2020","Lockdown"
"Alabama","AL","closing_restaurants","3/19/2020","Lockdown"
"Alaska","AK","closing_restaurants","3/18/2020","Lockdown"
"Arizona","AZ","closing_restaurants","3/21/2020","Lockdown"
"Arkansas","AR","closing_restaurants","3/20/2020","Lockdown"
"California","CA","closing_restaurants","3/16/2020","Lockdown"
"Colorado","CO","closing_restaurants","3/17/2020","Lockdown"
"Connecticut","CT","closing_restaurants","3/16/2020","Lockdown"
"Delaware","DE","closing_restaurants","3/16/2020","Lockdown"
"District of Columbia","DC","closing_restaurants","3/16/2020","Lockdown"
"Florida","FL","closing_restaurants","4/3/2020","Lockdown"
"Georgia","GA","closing_restaurants","4/3/2020","Lockdown"
"Hawaii","HI","closing_restaurants","3/17/2020","Lockdown"
"Idaho","ID","closing_restaurants","3/25/2020","Lockdown"
"Illinois","IL","closing_restaurants","3/16/2020","Lockdown"
"Indiana","IN","closing_restaurants","3/16/2020","Lockdown"
"Iowa","IA","closing_restaurants","3/17/2020","Lockdown"
"Kansas","KS","closing_restaurants","3/30/2020","Lockdown"
"Kentucky","KY","closing_restaurants","3/16/2020","Lockdown"
"Louisiana","LA","closing_restaurants","3/17/2020","Lockdown"
"Maine","ME","closing_restaurants","3/18/2020","Lockdown"
"Maryland","MD","closing_restaurants","3/16/2020","Lockdown"
"Massachusetts","MA","closing_restaurants","3/17/2020","Lockdown"
"Michigan","MI","closing_restaurants","3/16/2020","Lockdown"
"Minnesota","MN","closing_restaurants","3/17/2020","Lockdown"
"Mississippi","MS","closing_restaurants","4/3/2020","Lockdown"
"Missouri","MO","closing_restaurants","3/23/2020","Lockdown"
