"State","State.Abbreviation","Policy","Date","Group"
"Washington","WA","state_of_emergency",2020-02-29,"Lockdown"
"California","CA","state_of_emergency",2020-03-04,"Lockdown"
"Hawaii","HI","state_of_emergency",2020-03-04,"Lockdown"
"Maryland","MD","state_of_emergency",2020-03-05,"Lockdown"
"Indiana","IN","state_of_emergency",2020-03-06,"Lockdown"
"Kentucky","KY","state_of_emergency",2020-03-06,"Lockdown"
"Pennsylvania","PA","state_of_emergency",2020-03-06,"Lockdown"
"Utah","UT","state_of_emergency",2020-03-06,"Lockdown"
"New York","NY","state_of_emergency",2020-03-07,"Lockdown"
"Oregon","OR","state_of_emergency",2020-03-08,"Lockdown"
"Florida","FL","state_of_emergency",2020-03-09,"Lockdown"
"Illinois","IL","state_of_emergency",2020-03-09,"Lockdown"
"Iowa","IA","state_of_emergency",2020-03-09,"Lockdown"
"New Jersey","NJ","state_of_emergency",2020-03-09,"Lockdown"
"Ohio","OH","state_of_emergency",2020-03-09,"Lockdown"
"Rhode Island","RI","state_of_emergency",2020-03-09,"Lockdown"
"Connecticut","CT","state_of_emergency",2020-03-10,"Lockdown"
"Massachusetts","MA","state_of_emergency",2020-03-10,"Lockdown"
"Michigan","MI","state_of_emergency",2020-03-10,"Lockdown"
"North Carolina","NC","state_of_emergency",2020-03-10,"Lockdown"
"Alaska","AK","state_of_emergency",2020-03-11,"Lockdown"
"Arizona","AZ","state_of_emergency",2020-03-11,"Lockdown"
"Arkansas","AR","state_of_emergency",2020-03-11,"Lockdown"
"Colorado","CO","state_of_emergency",2020-03-11,"Lockdown"
"District of Columbia","DC","state_of_emergency",2020-03-11,"Lockdown"
"Louisiana","LA","state_of_emergency",2020-03-11,"Lockdown"
"New Mexico","NM","state_of_emergency",2020-03-11,"Lockdown"
"Kansas","KS","state_of_emergency",2020-03-12,"Lockdown"
"Montana","MT","state_of_emergency",2020-03-12,"Lockdown"
"Nevada","NV","state_of_emergency",2020-03-12,"Lockdown"
"Tennessee","TN","state_of_emergency",2020-03-12,"Lockdown"
"Virginia","VA","state_of_emergency",2020-03-12,"Lockdown"
"Wisconsin","WI","state_of_emergency",2020-03-12,"Lockdown"
"Alabama","AL","state_of_emergency",2020-03-13,"Lockdown"
"Delaware","DE","state_of_emergency",2020-03-13,"Lockdown"
"Idaho","ID","state_of_emergency",2020-03-13,"Lockdown"
"Minnesota","MN","state_of_emergency",2020-03-13,"Lockdown"
"Missouri","MO","state_of_emergency",2020-03-13,"Lockdown"
"Nebraska","NE","state_of_emergency",2020-03-13,"Lockdown"
"New Hampshire","NH","state_of_emergency",2020-03-13,"Lockdown"
"North Dakota","ND","state_of_emergency",2020-03-13,"Lockdown"
"South Carolina","SC","state_of_emergency",2020-03-13,"Lockdown"
"South Dakota","SD","state_of_emergency",2020-03-13,"Lockdown"
"Texas","TX","state_of_emergency",2020-03-13,"Lockdown"
"Vermont","VT","state_of_emergency",2020-03-13,"Lockdown"
"Wyoming","WY","state_of_emergency",2020-03-13,"Lockdown"
"Massachusetts","MA","closing_casinos",2020-03-14,"Lockdown"
"Georgia","GA","state_of_emergency",2020-03-14,"Lockdown"
"Mississippi","MS","state_of_emergency",2020-03-14,"Lockdown"
"Ohio","OH","closing_bars",2020-03-15,"Lockdown"
"Maine","ME","state_of_emergency",2020-03-15,"Lockdown"
"Oklahoma","OK","state_of_emergency",2020-03-15,"Lockdown"
"Alaska","AK","closing_schools",2020-03-16,"Lockdown"
"Arizona","AZ","closing_schools",2020-03-16,"Lockdown"
"Delaware","DE","closing_schools",2020-03-16,"Lockdown"
"District of Columbia","DC","closing_schools",2020-03-16,"Lockdown"
"Hawaii","HI","closing_schools",2020-03-16,"Lockdown"
"Louisiana","LA","closing_schools",2020-03-16,"Lockdown"
"Maryland","MD","closing_schools",2020-03-16,"Lockdown"
"Michigan","MI","closing_schools",2020-03-16,"Lockdown"
"Montana","MT","closing_schools",2020-03-16,"Lockdown"
"Nevada","NV","closing_schools",2020-03-16,"Lockdown"
"New Hampshire","NH","closing_schools",2020-03-16,"Lockdown"
"New Mexico","NM","closing_schools",2020-03-16,"Lockdown"
"North Carolina","NC","closing_schools",2020-03-16,"Lockdown"
"North Dakota","ND","closing_schools",2020-03-16,"Lockdown"
"Oregon","OR","closing_schools",2020-03-16,"Lockdown"
"Pennsylvania","PA","closing_schools",2020-03-16,"Lockdown"
"South Carolina","SC","closing_schools",2020-03-16,"Lockdown"
"South Dakota","SD","closing_schools",2020-03-16,"Lockdown"
"Utah","UT","closing_schools",2020-03-16,"Lockdown"
"Virginia","VA","closing_schools",2020-03-16,"Lockdown"
"West Virginia","WV","closing_schools",2020-03-16,"Lockdown"
"California","CA","closing_restaurants",2020-03-16,"Lockdown"
"Connecticut","CT","closing_restaurants",2020-03-16,"Lockdown"
"Delaware","DE","closing_restaurants",2020-03-16,"Lockdown"
"District of Columbia","DC","closing_restaurants",2020-03-16,"Lockdown"
"Illinois","IL","closing_restaurants",2020-03-16,"Lockdown"
"Indiana","IN","closing_restaurants",2020-03-16,"Lockdown"
"Kentucky","KY","closing_restaurants",2020-03-16,"Lockdown"
"Maryland","MD","closing_restaurants",2020-03-16,"Lockdown"
"Michigan","MI","closing_restaurants",2020-03-16,"Lockdown"
"New Hampshire","NH","closing_restaurants",2020-03-16,"Lockdown"
"New Jersey","NJ","closing_restaurants",2020-03-16,"Lockdown"
"Ohio","OH","closing_restaurants",2020-03-16,"Lockdown"
"Washington","WA","closing_restaurants",2020-03-16,"Lockdown"
"Connecticut","CT","closing_movietheaters",2020-03-16,"Lockdown"
"Maryland","MD","closing_movietheaters",2020-03-16,"Lockdown"
"Michigan","MI","closing_movietheaters",2020-03-16,"Lockdown"
"New Jersey","NJ","closing_movietheaters",2020-03-16,"Lockdown"
"New York","NY","closing_movietheaters",2020-03-16,"Lockdown"
"Washington","WA","closing_movietheaters",2020-03-16,"Lockdown"
"Connecticut","CT","closing_gyms",2020-03-16,"Lockdown"
"Maryland","MD","closing_gyms",2020-03-16,"Lockdown"
"Michigan","MI","closing_gyms",2020-03-16,"Lockdown"
"New Jersey","NJ","closing_gyms",2020-03-16,"Lockdown"
"New York","NY","closing_gyms",2020-03-16,"Lockdown"
"Washington","WA","closing_gyms",2020-03-16,"Lockdown"
"Delaware","DE","closing_casinos",2020-03-16,"Lockdown"
"Illinois","IL","closing_casinos",2020-03-16,"Lockdown"
"Indiana","IN","closing_casinos",2020-03-16,"Lockdown"
"Iowa","IA","closing_casinos",2020-03-16,"Lockdown"
"Maryland","MD","closing_casinos",2020-03-16,"Lockdown"
"Michigan","MI","closing_casinos",2020-03-16,"Lockdown"
"Mississippi","MS","closing_casinos",2020-03-16,"Lockdown"
"New Jersey","NJ","closing_casinos",2020-03-16,"Lockdown"
"New Mexico","NM","closing_casinos",2020-03-16,"Lockdown"
"New York","NY","closing_casinos",2020-03-16,"Lockdown"
"California","CA","closing_bars",2020-03-16,"Lockdown"
"Connecticut","CT","closing_bars",2020-03-16,"Lockdown"
"Delaware","DE","closing_bars",2020-03-16,"Lockdown"
"District of Columbia","DC","closing_bars",2020-03-16,"Lockdown"
"Illinois","IL","closing_bars",2020-03-16,"Lockdown"
"Indiana","IN","closing_bars",2020-03-16,"Lockdown"
"Kentucky","KY","closing_bars",2020-03-16,"Lockdown"
"Maryland","MD","closing_bars",2020-03-16,"Lockdown"
"Michigan","MI","closing_bars",2020-03-16,"Lockdown"
"New Hampshire","NH","closing_bars",2020-03-16,"Lockdown"
"New Jersey","NJ","closing_bars",2020-03-16,"Lockdown"
"New York","NY","closing_bars",2020-03-16,"Lockdown"
"West Virginia","WV","state_of_emergency",2020-03-16,"Lockdown"
"Arkansas","AR","closing_schools",2020-03-17,"Lockdown"
"Connecticut","CT","closing_schools",2020-03-17,"Lockdown"
"Florida","FL","closing_schools",2020-03-17,"Lockdown"
"Illinois","IL","closing_schools",2020-03-17,"Lockdown"
"Kentucky","KY","closing_schools",2020-03-17,"Lockdown"
"Massachusetts","MA","closing_schools",2020-03-17,"Lockdown"
"Ohio","OH","closing_schools",2020-03-17,"Lockdown"
"Oklahoma","OK","closing_schools",2020-03-17,"Lockdown"
"Washington","WA","closing_schools",2020-03-17,"Lockdown"
"Colorado","CO","closing_restaurants",2020-03-17,"Lockdown"
"Hawaii","HI","closing_restaurants",2020-03-17,"Lockdown"
"Iowa","IA","closing_restaurants",2020-03-17,"Lockdown"
"Louisiana","LA","closing_restaurants",2020-03-17,"Lockdown"
"Massachusetts","MA","closing_restaurants",2020-03-17,"Lockdown"
"Minnesota","MN","closing_restaurants",2020-03-17,"Lockdown"
"New York","NY","closing_restaurants",2020-03-17,"Lockdown"
"Colorado","CO","closing_movietheaters",2020-03-17,"Lockdown"
"District of Columbia","DC","closing_movietheaters",2020-03-17,"Lockdown"
"Hawaii","HI","closing_movietheaters",2020-03-17,"Lockdown"
"Iowa","IA","closing_movietheaters",2020-03-17,"Lockdown"
"Louisiana","LA","closing_movietheaters",2020-03-17,"Lockdown"
"Minnesota","MN","closing_movietheaters",2020-03-17,"Lockdown"
"Ohio","OH","closing_movietheaters",2020-03-17,"Lockdown"
"Colorado","CO","closing_gyms",2020-03-17,"Lockdown"
"District of Columbia","DC","closing_gyms",2020-03-17,"Lockdown"
"Iowa","IA","closing_gyms",2020-03-17,"Lockdown"
"Louisiana","LA","closing_gyms",2020-03-17,"Lockdown"
"Minnesota","MN","closing_gyms",2020-03-17,"Lockdown"
"Ohio","OH","closing_gyms",2020-03-17,"Lockdown"
"Arkansas","AR","closing_casinos",2020-03-17,"Lockdown"
"Colorado","CO","closing_casinos",2020-03-17,"Lockdown"
"Louisiana","LA","closing_casinos",2020-03-17,"Lockdown"
"Missouri","MO","closing_casinos",2020-03-17,"Lockdown"
"Nevada","NV","closing_casinos",2020-03-17,"Lockdown"
"Pennsylvania","PA","closing_casinos",2020-03-17,"Lockdown"
"Colorado","CO","closing_bars",2020-03-17,"Lockdown"
"Florida","FL","closing_bars",2020-03-17,"Lockdown"
"Hawaii","HI","closing_bars",2020-03-17,"Lockdown"
"Iowa","IA","closing_bars",2020-03-17,"Lockdown"
"Louisiana","LA","closing_bars",2020-03-17,"Lockdown"
"Massachusetts","MA","closing_bars",2020-03-17,"Lockdown"
"Minnesota","MN","closing_bars",2020-03-17,"Lockdown"
"North Carolina","NC","closing_bars",2020-03-17,"Lockdown"
"Oregon","OR","closing_bars",2020-03-17,"Lockdown"
"Rhode Island","RI","closing_bars",2020-03-17,"Lockdown"
"Vermont","VT","closing_bars",2020-03-17,"Lockdown"
"Washington","WA","closing_bars",2020-03-17,"Lockdown"
"Wisconsin","WI","closing_bars",2020-03-17,"Lockdown"
"Georgia","GA","closing_schools",2020-03-18,"Lockdown"
"Kansas","KS","closing_schools",2020-03-18,"Lockdown"
"Minnesota","MN","closing_schools",2020-03-18,"Lockdown"
"New Jersey","NJ","closing_schools",2020-03-18,"Lockdown"
"New York","NY","closing_schools",2020-03-18,"Lockdown"
"Vermont","VT","closing_schools",2020-03-18,"Lockdown"
"Wisconsin","WI","closing_schools",2020-03-18,"Lockdown"
"Alaska","AK","closing_restaurants",2020-03-18,"Lockdown"
"Maine","ME","closing_restaurants",2020-03-18,"Lockdown"
"North Carolina","NC","closing_restaurants",2020-03-18,"Lockdown"
"Oregon","OR","closing_restaurants",2020-03-18,"Lockdown"
"Pennsylvania","PA","closing_restaurants",2020-03-18,"Lockdown"
"Rhode Island","RI","closing_restaurants",2020-03-18,"Lockdown"
"Vermont","VT","closing_restaurants",2020-03-18,"Lockdown"
"Wisconsin","WI","closing_restaurants",2020-03-18,"Lockdown"
"Alaska","AK","closing_movietheaters",2020-03-18,"Lockdown"
"Kentucky","KY","closing_movietheaters",2020-03-18,"Lockdown"
"Alaska","AK","closing_gyms",2020-03-18,"Lockdown"
"Kentucky","KY","closing_gyms",2020-03-18,"Lockdown"
"West Virginia","WV","closing_casinos",2020-03-18,"Lockdown"
"Alaska","AK","closing_bars",2020-03-18,"Lockdown"
"Maine","ME","closing_bars",2020-03-18,"Lockdown"
"Pennsylvania","PA","closing_bars",2020-03-18,"Lockdown"
"South Carolina","SC","closing_bars",2020-03-18,"Lockdown"
"West Virginia","WV","closing_bars",2020-03-18,"Lockdown"
"Wyoming","WY","closing_schools",2020-03-19,"Lockdown"
"Alabama","AL","closing_restaurants",2020-03-19,"Lockdown"
"South Carolina","SC","closing_restaurants",2020-03-19,"Lockdown"
"West Virginia","WV","closing_restaurants",2020-03-19,"Lockdown"
"Wyoming","WY","closing_restaurants",2020-03-19,"Lockdown"
"California","CA","closing_nebusinesses",2020-03-19,"Lockdown"
"Colorado","CO","closing_nebusinesses",2020-03-19,"Lockdown"
"Wyoming","WY","closing_nebusinesses",2020-03-19,"Lockdown"
"California","CA","closing_movietheaters",2020-03-19,"Lockdown"
"Delaware","DE","closing_movietheaters",2020-03-19,"Lockdown"
"New Mexico","NM","closing_movietheaters",2020-03-19,"Lockdown"
"Wyoming","WY","closing_movietheaters",2020-03-19,"Lockdown"
"California","CA","closing_gyms",2020-03-19,"Lockdown"
"Delaware","DE","closing_gyms",2020-03-19,"Lockdown"
"New Mexico","NM","closing_gyms",2020-03-19,"Lockdown"
"West Virginia","WV","closing_gyms",2020-03-19,"Lockdown"
"Wyoming","WY","closing_gyms",2020-03-19,"Lockdown"
"Alabama","AL","closing_bars",2020-03-19,"Lockdown"
"New Mexico","NM","closing_bars",2020-03-19,"Lockdown"
"Utah","UT","closing_bars",2020-03-19,"Lockdown"
"Wyoming","WY","closing_bars",2020-03-19,"Lockdown"
"California","CA","shelter_in_place_order",2020-03-19,"Lockdown"
"Alabama","AL","closing_schools",2020-03-20,"Lockdown"
"Indiana","IN","closing_schools",2020-03-20,"Lockdown"
"Mississippi","MS","closing_schools",2020-03-20,"Lockdown"
"Tennessee","TN","closing_schools",2020-03-20,"Lockdown"
"Arkansas","AR","closing_restaurants",2020-03-20,"Lockdown"
"Montana","MT","closing_restaurants",2020-03-20,"Lockdown"
"New Mexico","NM","closing_restaurants",2020-03-20,"Lockdown"
"Utah","UT","closing_restaurants",2020-03-20,"Lockdown"
"North Dakota","ND","closing_nebusinesses",2020-03-20,"Lockdown"
"Arkansas","AR","closing_movietheaters",2020-03-20,"Lockdown"
"Montana","MT","closing_movietheaters",2020-03-20,"Lockdown"
"North Dakota","ND","closing_movietheaters",2020-03-20,"Lockdown"
"Arkansas","AR","closing_gyms",2020-03-20,"Lockdown"
"Montana","MT","closing_gyms",2020-03-20,"Lockdown"
"North Dakota","ND","closing_gyms",2020-03-20,"Lockdown"
"Montana","MT","closing_casinos",2020-03-20,"Lockdown"
"Arkansas","AR","closing_bars",2020-03-20,"Lockdown"
"Montana","MT","closing_bars",2020-03-20,"Lockdown"
"North Dakota","ND","closing_bars",2020-03-20,"Lockdown"
"Texas","TX","closing_schools",2020-03-21,"Lockdown"
"Arizona","AZ","closing_restaurants",2020-03-21,"Lockdown"
"Nevada","NV","closing_restaurants",2020-03-21,"Lockdown"
"North Dakota","ND","closing_restaurants",2020-03-21,"Lockdown"
"Texas","TX","closing_restaurants",2020-03-21,"Lockdown"
"Illinois","IL","closing_nebusinesses",2020-03-21,"Lockdown"
"Nevada","NV","closing_nebusinesses",2020-03-21,"Lockdown"
"New Jersey","NJ","closing_nebusinesses",2020-03-21,"Lockdown"
"Pennsylvania","PA","closing_nebusinesses",2020-03-21,"Lockdown"
"Arizona","AZ","closing_movietheaters",2020-03-21,"Lockdown"
"Illinois","IL","closing_movietheaters",2020-03-21,"Lockdown"
"Nevada","NV","closing_movietheaters",2020-03-21,"Lockdown"
"Pennsylvania","PA","closing_movietheaters",2020-03-21,"Lockdown"
"Arizona","AZ","closing_gyms",2020-03-21,"Lockdown"
"Illinois","IL","closing_gyms",2020-03-21,"Lockdown"
"Nevada","NV","closing_gyms",2020-03-21,"Lockdown"
"Pennsylvania","PA","closing_gyms",2020-03-21,"Lockdown"
"Texas","TX","closing_gyms",2020-03-21,"Lockdown"
"Arizona","AZ","closing_bars",2020-03-21,"Lockdown"
"Nevada","NV","closing_bars",2020-03-21,"Lockdown"
"Texas","TX","closing_bars",2020-03-21,"Lockdown"
"Illinois","IL","shelter_in_place_order",2020-03-21,"Lockdown"
"New Jersey","NJ","shelter_in_place_order",2020-03-21,"Lockdown"
"New York","NY","closing_nebusinesses",2020-03-22,"Lockdown"
"Rhode Island","RI","closing_casinos",2020-03-22,"Lockdown"
"New York","NY","shelter_in_place_order",2020-03-22,"Lockdown"
"California","CA","closing_schools",2020-03-23,"Lockdown"
"Colorado","CO","closing_schools",2020-03-23,"Lockdown"
"Missouri","MO","closing_schools",2020-03-23,"Lockdown"
"Missouri","MO","closing_restaurants",2020-03-23,"Lockdown"
"Connecticut","CT","closing_nebusinesses",2020-03-23,"Lockdown"
"Louisiana","LA","closing_nebusinesses",2020-03-23,"Lockdown"
"Maryland","MD","closing_nebusinesses",2020-03-23,"Lockdown"
"Oregon","OR","closing_nebusinesses",2020-03-23,"Lockdown"
"Rhode Island","RI","closing_movietheaters",2020-03-23,"Lockdown"
"Tennessee","TN","closing_movietheaters",2020-03-23,"Lockdown"
"Rhode Island","RI","closing_gyms",2020-03-23,"Lockdown"
"Tennessee","TN","closing_gyms",2020-03-23,"Lockdown"
"Vermont","VT","closing_gyms",2020-03-23,"Lockdown"
"Missouri","MO","closing_bars",2020-03-23,"Lockdown"
"Tennessee","TN","closing_bars",2020-03-23,"Lockdown"
"Louisiana","LA","shelter_in_place_order",2020-03-23,"Lockdown"
"Oregon","OR","shelter_in_place_order",2020-03-23,"Lockdown"
"Washington","WA","shelter_in_place_order",2020-03-23,"Lockdown"
"Idaho","ID","closing_schools",2020-03-24,"Lockdown"
"Tennessee","TN","closing_restaurants",2020-03-24,"Lockdown"
"Alaska","AK","closing_nebusinesses",2020-03-24,"Lockdown"
"Delaware","DE","closing_nebusinesses",2020-03-24,"Lockdown"
"Massachusetts","MA","closing_nebusinesses",2020-03-24,"Lockdown"
"Michigan","MI","closing_nebusinesses",2020-03-24,"Lockdown"
"New Mexico","NM","closing_nebusinesses",2020-03-24,"Lockdown"
"Ohio","OH","closing_nebusinesses",2020-03-24,"Lockdown"
"West Virginia","WV","closing_nebusinesses",2020-03-24,"Lockdown"
"Massachusetts","MA","closing_movietheaters",2020-03-24,"Lockdown"
"Oregon","OR","closing_movietheaters",2020-03-24,"Lockdown"
"West Virginia","WV","closing_movietheaters",2020-03-24,"Lockdown"
"Massachusetts","MA","closing_gyms",2020-03-24,"Lockdown"
"Oregon","OR","closing_gyms",2020-03-24,"Lockdown"
"Georgia","GA","closing_bars",2020-03-24,"Lockdown"
"Delaware","DE","shelter_in_place_order",2020-03-24,"Lockdown"
"Massachusetts","MA","shelter_in_place_order",2020-03-24,"Lockdown"
"Michigan","MI","shelter_in_place_order",2020-03-24,"Lockdown"
"New Mexico","NM","shelter_in_place_order",2020-03-24,"Lockdown"
"Ohio","OH","shelter_in_place_order",2020-03-24,"Lockdown"
"Vermont","VT","shelter_in_place_order",2020-03-24,"Lockdown"
"West Virginia","WV","shelter_in_place_order",2020-03-24,"Lockdown"
"Idaho","ID","closing_restaurants",2020-03-25,"Lockdown"
"District of Columbia","DC","closing_nebusinesses",2020-03-25,"Lockdown"
"Hawaii","HI","closing_nebusinesses",2020-03-25,"Lockdown"
"Idaho","ID","closing_nebusinesses",2020-03-25,"Lockdown"
"Indiana","IN","closing_nebusinesses",2020-03-25,"Lockdown"
"Maine","ME","closing_nebusinesses",2020-03-25,"Lockdown"
"Vermont","VT","closing_nebusinesses",2020-03-25,"Lockdown"
"Virginia","VA","closing_nebusinesses",2020-03-25,"Lockdown"
"Washington","WA","closing_nebusinesses",2020-03-25,"Lockdown"
"Wisconsin","WI","closing_nebusinesses",2020-03-25,"Lockdown"
"Idaho","ID","closing_movietheaters",2020-03-25,"Lockdown"
"Indiana","IN","closing_movietheaters",2020-03-25,"Lockdown"
"Maine","ME","closing_movietheaters",2020-03-25,"Lockdown"
"North Carolina","NC","closing_movietheaters",2020-03-25,"Lockdown"
"Vermont","VT","closing_movietheaters",2020-03-25,"Lockdown"
"Virginia","VA","closing_movietheaters",2020-03-25,"Lockdown"
"Wisconsin","WI","closing_movietheaters",2020-03-25,"Lockdown"
"Hawaii","HI","closing_gyms",2020-03-25,"Lockdown"
"Idaho","ID","closing_gyms",2020-03-25,"Lockdown"
"Indiana","IN","closing_gyms",2020-03-25,"Lockdown"
"Maine","ME","closing_gyms",2020-03-25,"Lockdown"
"North Carolina","NC","closing_gyms",2020-03-25,"Lockdown"
"Virginia","VA","closing_gyms",2020-03-25,"Lockdown"
"Wisconsin","WI","closing_gyms",2020-03-25,"Lockdown"
"Idaho","ID","closing_bars",2020-03-25,"Lockdown"
"Virginia","VA","closing_bars",2020-03-25,"Lockdown"
"Hawaii","HI","shelter_in_place_order",2020-03-25,"Lockdown"
"Idaho","ID","shelter_in_place_order",2020-03-25,"Lockdown"
"Indiana","IN","shelter_in_place_order",2020-03-25,"Lockdown"
"Wisconsin","WI","shelter_in_place_order",2020-03-25,"Lockdown"
"Virginia","VA","closing_restaurants",2020-03-26,"Lockdown"
"Iowa","IA","closing_nebusinesses",2020-03-26,"Lockdown"
"Kentucky","KY","closing_nebusinesses",2020-03-26,"Lockdown"
"Colorado","CO","shelter_in_place_order",2020-03-26,"Lockdown"
"Utah","UT","closing_nebusinesses",2020-03-27,"Lockdown"
"Utah","UT","closing_movietheaters",2020-03-27,"Lockdown"
"Utah","UT","closing_gyms",2020-03-27,"Lockdown"
"Alabama","AL","closing_nebusinesses",2020-03-28,"Lockdown"
"Minnesota","MN","closing_nebusinesses",2020-03-28,"Lockdown"
"Montana","MT","closing_nebusinesses",2020-03-28,"Lockdown"
"New Hampshire","NH","closing_nebusinesses",2020-03-28,"Lockdown"
"Alabama","AL","closing_movietheaters",2020-03-28,"Lockdown"
"New Hampshire","NH","closing_movietheaters",2020-03-28,"Lockdown"
"Alabama","AL","closing_gyms",2020-03-28,"Lockdown"
"New Hampshire","NH","closing_gyms",2020-03-28,"Lockdown"
"Alabama","AL","closing_casinos",2020-03-28,"Lockdown"
"Alaska","AK","shelter_in_place_order",2020-03-28,"Lockdown"
"Minnesota","MN","shelter_in_place_order",2020-03-28,"Lockdown"
"Montana","MT","shelter_in_place_order",2020-03-28,"Lockdown"
"New Hampshire","NH","shelter_in_place_order",2020-03-28,"Lockdown"
"Rhode Island","RI","shelter_in_place_order",2020-03-28,"Lockdown"
"Kansas","KS","closing_restaurants",2020-03-30,"Lockdown"
