"State","State.Abbreviation","Policy","Date","Group"
"Washington","WA","State.of.emergency.issued",2020-02-29,"Lockdown"
"California","CA","State.of.emergency.issued",2020-03-04,"Lockdown"
"Hawaii","HI","State.of.emergency.issued",2020-03-04,"Lockdown"
"Maryland","MD","State.of.emergency.issued",2020-03-05,"Lockdown"
"Indiana","IN","State.of.emergency.issued",2020-03-06,"Lockdown"
"Kentucky","KY","State.of.emergency.issued",2020-03-06,"Lockdown"
"Pennsylvania","PA","State.of.emergency.issued",2020-03-06,"Lockdown"
"Utah","UT","State.of.emergency.issued",2020-03-06,"Lockdown"
"New York","NY","State.of.emergency.issued",2020-03-07,"Lockdown"
"Oregon","OR","State.of.emergency.issued",2020-03-08,"Lockdown"
"Florida","FL","State.of.emergency.issued",2020-03-09,"Lockdown"
"Illinois","IL","State.of.emergency.issued",2020-03-09,"Lockdown"
"Iowa","IA","State.of.emergency.issued",2020-03-09,"Lockdown"
"New Jersey","NJ","State.of.emergency.issued",2020-03-09,"Lockdown"
"Ohio","OH","State.of.emergency.issued",2020-03-09,"Lockdown"
"Rhode Island","RI","State.of.emergency.issued",2020-03-09,"Lockdown"
"Connecticut","CT","State.of.emergency.issued",2020-03-10,"Lockdown"
"Massachusetts","MA","State.of.emergency.issued",2020-03-10,"Lockdown"
"Michigan","MI","State.of.emergency.issued",2020-03-10,"Lockdown"
"North Carolina","NC","State.of.emergency.issued",2020-03-10,"Lockdown"
"Alaska","AK","State.of.emergency.issued",2020-03-11,"Lockdown"
"Arizona","AZ","State.of.emergency.issued",2020-03-11,"Lockdown"
"Arkansas","AR","State.of.emergency.issued",2020-03-11,"Lockdown"
"Colorado","CO","State.of.emergency.issued",2020-03-11,"Lockdown"
"District of Columbia","DC","State.of.emergency.issued",2020-03-11,"Lockdown"
"Louisiana","LA","State.of.emergency.issued",2020-03-11,"Lockdown"
"New Mexico","NM","State.of.emergency.issued",2020-03-11,"Lockdown"
"Kansas","KS","State.of.emergency.issued",2020-03-12,"Lockdown"
"Montana","MT","State.of.emergency.issued",2020-03-12,"Lockdown"
"Nevada","NV","State.of.emergency.issued",2020-03-12,"Lockdown"
"Tennessee","TN","State.of.emergency.issued",2020-03-12,"Lockdown"
"Virginia","VA","State.of.emergency.issued",2020-03-12,"Lockdown"
"Wisconsin","WI","State.of.emergency.issued",2020-03-12,"Lockdown"
"Alabama","AL","State.of.emergency.issued",2020-03-13,"Lockdown"
"Delaware","DE","State.of.emergency.issued",2020-03-13,"Lockdown"
"Idaho","ID","State.of.emergency.issued",2020-03-13,"Lockdown"
