State,State Abbreviation,,Began to reopen businesses statewide,,Reopened restaurants,,Reopened gyms,,Reopened movie theaters,,Reopened hair salons/barber shops,,Reopened other non-essential retail,,Reopened bars,,Reopened casinos
Alabama,AL,reopening_business,4/30/2020,reopening_restaurants,5/11/2020,reopening_gyms,5/11/2020,reopening_movietheaters,5/22/2020,reopening_hairsalons,5/11/2020,reopening_neretail,4/30/2020,reopening_bars,5/11/2020,reopening_casinos,5/22/2020
Alaska,AK,reopening_business,4/24/2020,reopening_restaurants,4/24/2020,reopening_gyms,5/8/2020,reopening_movietheaters,5/8/2020,reopening_hairsalons,4/24/2020,reopening_neretail,4/24/2020,reopening_bars,5/8/2020,reopening_casinos,0
Arizona,AZ,reopening_business,5/8/2020,reopening_restaurants,5/11/2020,reopening_gyms,5/13/2020,reopening_movietheaters,5/16/2020,reopening_hairsalons,5/8/2020,reopening_neretail,5/8/2020,reopening_bars,5/16/2020,reopening_casinos,0
Arkansas,AR,reopening_business,5/4/2020,reopening_restaurants,5/11/2020,reopening_gyms,5/4/2020,reopening_movietheaters,5/18/2020,reopening_hairsalons,5/6/2020,reopening_neretail,5/18/2020,reopening_bars,5/19/2020,reopening_casinos,5/18/2020
California,CA,reopening_business,5/8/2020,reopening_restaurants,5/18/2020,reopening_gyms,4/15/2021,reopening_movietheaters,4/15/2021,reopening_hairsalons,8/28/2020,reopening_neretail,5/8/2020,reopening_bars,6/15/2021,reopening_casinos,0
Colorado,CO,reopening_business,5/1/2020,reopening_restaurants,5/27/2020,reopening_gyms,6/4/2020,reopening_movietheaters,6/18/2020,reopening_hairsalons,5/1/2020,reopening_neretail,5/1/2020,reopening_bars,6/18/2020,reopening_casinos,8/24/2020
Connecticut,CT,reopening_business,5/20/2020,reopening_restaurants,5/20/2020,reopening_gyms,6/17/2020,reopening_movietheaters,6/17/2020,reopening_hairsalons,6/1/2020,reopening_neretail,5/20/2020,reopening_bars,5/19/2021,reopening_casinos,0
Delaware,DE,reopening_business,5/8/2020,reopening_restaurants,6/1/2020,reopening_gyms,6/1/2020,reopening_movietheaters,6/1/2020,reopening_hairsalons,6/8/2020,reopening_neretail,5/20/2020,reopening_bars,6/15/2020,reopening_casinos,6/1/2020
District of Columbia,DC,reopening_business,5/29/2020,reopening_restaurants,5/29/2020,reopening_gyms,6/22/2020,reopening_movietheaters,6/22/2020,reopening_hairsalons,5/29/2020,reopening_neretail,6/22/2020,reopening_bars,5/29/2020,reopening_casinos,0
Florida,FL,reopening_business,5/18/2020,reopening_restaurants,5/18/2020,reopening_gyms,5/18/2020,reopening_movietheaters,6/5/2020,reopening_hairsalons,5/11/2020,reopening_neretail,5/18/2020,reopening_bars,6/5/2020,reopening_casinos,0
