State,State Abbreviation,Policy,Date
Alabama,AL,shelter_in_place_order,4/4/2020
Alaska,AK,shelter_in_place_order,3/28/2020
Arizona,AZ,shelter_in_place_order,3/31/2020
Arkansas,AR,shelter_in_place_order,0
California,CA,shelter_in_place_order,3/19/2020
Colorado,CO,shelter_in_place_order,3/26/2020
Connecticut,CT,shelter_in_place_order,0
Delaware,DE,shelter_in_place_order,3/24/2020
District of Columbia,DC,shelter_in_place_order,4/1/2020
Florida,FL,shelter_in_place_order,4/3/2020
Georgia,GA,shelter_in_place_order,4/3/2020
Hawaii,HI,shelter_in_place_order,3/25/2020
Idaho,ID,shelter_in_place_order,3/25/2020
Illinois,IL,shelter_in_place_order,3/21/2020
Indiana,IN,shelter_in_place_order,3/25/2020
Iowa,IA,shelter_in_place_order,0
Kansas,KS,shelter_in_place_order,3/30/2020
Kentucky,KY,shelter_in_place_order,0
Louisiana,LA,shelter_in_place_order,3/23/2020
Maine,ME,shelter_in_place_order,4/2/2020
Maryland,MD,shelter_in_place_order,3/30/2020
Massachusetts,MA,shelter_in_place_order,3/24/2020
Michigan,MI,shelter_in_place_order,3/24/2020
Minnesota,MN,shelter_in_place_order,3/28/2020
Mississippi,MS,shelter_in_place_order,4/3/2020
Missouri,MO,shelter_in_place_order,4/6/2020
Montana,MT,shelter_in_place_order,3/28/2020
Nebraska,NE,shelter_in_place_order,0
Nevada,NV,shelter_in_place_order,3/31/2020
New Hampshire,NH,shelter_in_place_order,3/28/2020
New Jersey,NJ,shelter_in_place_order,3/21/2020
New Mexico,NM,shelter_in_place_order,3/24/2020
New York,NY,shelter_in_place_order,3/22/2020
North Carolina,NC,shelter_in_place_order,3/30/2020
North Dakota,ND,shelter_in_place_order,0
Ohio,OH,shelter_in_place_order,3/24/2020
Oklahoma,OK,shelter_in_place_order,0
Oregon,OR,shelter_in_place_order,3/23/2020
Pennsylvania,PA,shelter_in_place_order,4/1/2020
Rhode Island,RI,shelter_in_place_order,3/28/2020
South Carolina,SC,shelter_in_place_order,4/7/2020
South Dakota,SD,shelter_in_place_order,0
Tennessee,TN,shelter_in_place_order,4/2/2020
Texas,TX,shelter_in_place_order,0
Utah,UT,shelter_in_place_order,0
Vermont,VT,shelter_in_place_order,3/24/2020
Virginia,VA,shelter_in_place_order,3/30/2020
Washington,WA,shelter_in_place_order,3/23/2020
West Virginia,WV,shelter_in_place_order,3/24/2020
Wisconsin,WI,shelter_in_place_order,3/25/2020
Wyoming,WY,shelter_in_place_order,0
